地点页顺序,地点,地点ID,新图片文件,状态
1,新港,nyhavn,Nyhavn_MichaD.jpg,已替换（用户按地点名称补充）
2,腓特烈教堂,frederiks-church,IMG_3451.JPG,已替换（顺序结合图像内容校对）
3,阿美琳堡宫区域,amalienborg,IMG_3452.jpg,已替换（顺序结合图像内容校对）
4,丹麦艺术与设计博物馆,designmuseum,IMG_3453.JPG,已替换（顺序结合图像内容校对）
5,小美人鱼雕像,little-mermaid,IMG_3454.JPG,已替换（顺序结合图像内容校对）
6,圆塔,round-tower,圆塔.jpg,已替换（用户按地点名称补充）
7,哥本哈根老城区,copenhagen-old-town,IMG_3455.JPG,已替换（顺序结合图像内容校对）
8,Strøget 步行街,stroget,IMG_3456.jpg,已替换（顺序结合图像内容校对）
9,HAY House,hayhouse,IMG_3457.JPG,已替换（顺序结合图像内容校对）
10,新嘉士伯美术馆,glyptotek,IMG_3458.jpg,已替换（顺序结合图像内容校对）
11,管风琴教堂,grundtvig,IMG_3459.JPG,已替换（顺序结合图像内容校对）
12,奥斯陆歌剧院,oslo-opera,IMG_3460.jpg,已替换（顺序结合图像内容校对）
13,蒙克美术馆,munch,IMG_3461.JPG,已替换（顺序结合图像内容校对）
14,Bjørvika 滨水区域,bjorvika,IMG_3462.jpg,已替换（顺序结合图像内容校对）
15,Fuglen 咖啡店,fuglen,IMG_3463.JPG,已替换（顺序结合图像内容校对）
16,奥斯陆主教堂,oslo-cathedral,IMG_3464.jpg,已替换（顺序结合图像内容校对）
17,卡尔·约翰斯大街,karl-johans,photo1jpg.jpg,已替换（用户补充确认）
18,奥斯陆皇宫,royal-palace-oslo,IMG_3466.JPG,已替换（顺序结合图像内容校对）
19,奥斯陆市政厅,oslo-city-hall,IMG_3467.jpg,已替换（顺序结合图像内容校对）
20,诺贝尔和平中心,nobel-peace,诺贝尔和平中心.jpeg,已替换（用户按地点名称补充）
21,斯德哥尔摩老城（Gamla Stan）,gamla-stan,IMG_3470.JPG,已替换（顺序结合图像内容校对）
22,斯德哥尔摩皇宫,royal-palace-stockholm,斯德哥尔摩皇宫.webp,已替换（用户按地点名称补充）
23,大广场（Stortorget）,stortorget,大广场（Stortorget）.jpeg,已替换（用户按地点名称补充）
24,骑士岛教堂区域,riddarholmen,IMG_3471.jpg,已替换（顺序结合图像内容校对）
25,瓦萨沉船博物馆,vasa,IMG_3474.jpg,已替换（顺序结合图像内容校对）
26,ABBA 博物馆,abba,IMG_3475.jpg,已替换（顺序结合图像内容校对）
27,Djurgården 岛区域,djurgarden,IMG_3476.jpg,已替换（顺序结合图像内容校对）
28,斯德哥尔摩市政厅,stockholm-city-hall,IMG_3478.JPG,已替换（顺序结合图像内容校对）
29,斯德哥尔摩市中心,stockholm-center,IMG_3479.jpg,已替换（顺序结合图像内容校对）
30,Ambra,intake-ambra,IMG_3480.jpg,已替换（顺序结合图像内容校对）
31,Skultuna Store（分店 1）,intake-skultuna-1,IMG_3481.JPG,已替换（顺序结合图像内容校对）
32,Skultuna Store（分店 2）,intake-skultuna-2,IMG_3483.jpg,已替换（顺序结合图像内容校对）
33,斯堪森（Skansen）,intake-skansen,斯堪森（Skansen）.jpg,已替换（用户按地点名称补充）
34,Restaurang Hantverket,intake-hantverket,IMG_3485.JPG,已替换（顺序结合图像内容校对）
35,Lennart & Bror Fisk,intake-lennart-bror,IMG_3486.JPG,已替换（顺序结合图像内容校对）
36,Posterland,intake-posterland,IMG_3487.JPG,已替换（顺序结合图像内容校对）
37,丹麦建筑中心（Danish Architecture Center）,intake-dac,丹麦建筑中心（Danish Architecture Center）.jpeg,已替换（用户按地点名称补充）
38,阿克斯胡斯城堡（Akershus Fortress）,intake-akershus,IMG_3488.JPG,已替换（顺序结合图像内容校对）
39,Montana,intake-montana,Montana.jpeg,已替换（用户按地点名称补充）
40,Frama,intake-frama,IMG_3489.JPG,已替换（顺序结合图像内容校对）
41,Design Market,intake-design-market,IMG_3490.JPG,已替换（顺序结合图像内容校对）
42,Studio Arhoj,intake-studio-arhoj,IMG_3491.jpg,已替换（顺序结合图像内容校对）
43,Ferm Living,intake-ferm-living,IMG_3492.JPG,已替换（顺序结合图像内容校对）
44,House of Finn Juhl,intake-finn-juhl,IMG_3493.jpg,已替换（顺序结合图像内容校对）
